index,code,title,source,lat,lon,plots,photo,url,detailed_map_url,group,url_class,img_class,marker-color,marker-symbol
1,ap_dc,Arrigetch Peaks (Cooper 1983),Cooper 1983,67.435174,-154.098991,373,ArrigetchPeaks(AP_DC).jpg,http://alaskaaga.gina.alaska.edu/catalogs/10177-alaska-arctic-vegetation-archive-arrigetch-pea,,0,,,#4caa4c,square
2,anhp_kb,"Alaska Natural Heritage Program (Boggs et al. 1998, Boucher et al. In Prep)",,70.332379,-151.8706,,,http://geobotanical.portal.gina.alaska.edu/catalogs/10670-alaska-arctic-vegetation-archive-alaska-natura,,0,,,#777,square
3,atl1_ee,ATLAS-1 Vegetation Studies (Edwards et al. 2000),Edwards et al. 2000,68.482394,-155.752,15,atlas1.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9781-alaska-arctic-vegetation-archive-atlas-1-atqa,,0,,,#4caa4c,square
3a,atl1_ee_brw,atlas1_dwalker_barrow,Edwards et al. 2000,71.321631,-156.6083,,,,,3,,, ,square
3b,atl1_ee_atq,atlas1_dwalker_atqasuk,Edwards et al. 2000,70.46517,-157.4519,,,,,3,,, ,square
3c,atl1_ee_oum,atlas1_dwalker_oumalik,Edwards et al. 2000,69.736552,-155.871,,,,,3,,, ,square
3d,atl1_ee_ivo,atlas1_dwalker_ivotuk,Edwards et al. 2000,68.481338,-155.75,,,,,3,,, ,square
4,atl2_dw,ATLAS-2 Vegetation Studies (Raynolds et al. 2002),Raynolds et al. 2002,64.893661,-163.6703,52,atlas2.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/10671-alaska-arctic-vegetation-archive-atlas-2-rayn,,0,,,#4caa4c,square
4a,atl2_dw_cnl,atlas2_mraynolds_council,Raynolds et al. 2002,64.893661,-163.6703,,,,,4,,, ,square
4b,atl2_dw_qc,atlas2_maraynolds_quartzcreek,Raynolds et al. 2002,65.402104,-164.6544,,,,,4,,, ,square
5,atq_vk,Atqasuk (Komarkova and Webber 1980; Villarreal 2013),Komarkova & Webber 1980; Villarreal 2013,70.44802,-157.3592,31,atqasuk.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/10182-alaska-arctic-vegetation-archive-atqasuk,,0,,,#4caa4c,square
6,brw_pw,Barrow (Webber 1978; Villarreal et al. 2012),Webber 1978; Villarreal et al. 2012,71.2895088,-156.6869346,33,barrow.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/10178-alaska-arctic-vegetation-archive-barrow-vegeta,,0,,,#4caa4c,square
7,brwngee_vs,Barrow-NGEE (Sloan et al. 2014),Sloan et al. 2014,71.27973,-156.60306,48,,http://geobotanical.portal.gina.alaska.edu/catalogs/10674-alaska-arctic-vegetation-archive-ngee-arctic-v,,0,,hidden,#fc3,square
8,ct_aj,Cape Thompson (Johnson et al. 1966),Johnson et al. 1966,68.097237,-165.7381,54,aava_capethompson_fromvierecketal_image.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9768-alaska-arctic-vegetation-archive-cape-thompson,,0,,,#86ef87,square
9,crd_mJ,Colville River Delta (Jorgenson et al. 1997),Jorgenson et al. 1997,70.292594,-150.9901,293,,http://geobotanical.portal.gina.alaska.edu/catalogs/10180-alaska-arctic-vegetation-archive-colville-rive,,0,,hidden,#777,square
10,fc_vk,Fish Creek (Lawson 1982),Lawson 1982,70.311352,-151.874,15,,http://geobotanical.portal.gina.alaska.edu/catalogs/10181-alaska-arctic-vegetation-archive-fish-creek,,0,,hidden,#777,square
11,fb_ak,Frost Boil Vegetation Plots (Kade et al. 2005),Kade et al. 2005 (data in Barreda et al. 2006),69.674394,-148.721,117,Frost Boils (FB_AK).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9629-alaska-arctic-vegetation-archive-frost-boil-ve,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/11-frost-boils,0,,,#4caa4c,square
11a,fb_ak_hi,frostboils_akade_howeisland,Kade et al. 2005,70.315056,-147.9937,,,,,11,,, ,square
11b,fb_ak_wd,frostboils_akade_westdock,Kade et al. 2005,70.374612,-148.5534,,,,,11,,, ,square
11c,fb_ak_dh,frostboils_akade_deadhorse,Kade et al. 2005,70.161361,-148.4671,,,,,11,,, ,square
11d,fb_ak_fb,frostboils_akade_franklinbluffs,Kade et al. 2005,69.674111,-148.7173,,,,,11,,, ,square
11e,fb_ak_sagn,frostboils_akade_sagwonnonacidic,Kade et al. 2005,69.433583,-148.6718,,,,,11,,, ,square
11f,fb_ak_saga,frostboils_akade_sagwonacidic,Kade et al. 2005,69.4255,-148.696,,,,,11,,, ,square
11g,fb_ak_hv,frostboils_akade_happyvalley,Kade et al. 2005,69.147,-148.847,,,,,11,,, ,square
12,hv_dw,Happy Valley (Walker et al. 1997),Walker et al. 1997,69.147861,-148.8428,56,Happy Valley (HV_SW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9623-alaska-arctic-vegetation-archive-happy-valley,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/12-happy-valley,0,,,#4caa4c,square
13,iwd-mj,"Ice-Wedge Degradation Vegetation Plots (Jorgenson et al., No date)","Jorgenson et al., no date",70.225454,-148.3939,50,,http://geobotanical.portal.gina.alaska.edu/catalogs/10183-alaska-arctic-vegetation-archive-ice-wedge-deg,,0,,hidden,#777,square
13a,iwd-mj_brw,icewedgedegradation_mjorgenson_barrow,"Jorgenson et al., no date",71.324333,-156.6801,,,,,13,,, ,square
