Releve number,Field releve number,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,Image_url1,Image_url2,Image_url3
255,HV-1,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.15794444,-148.8205,Field Name,Dryas integrifolia-Lupinus arcticus,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-1_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-1_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-1_soils.jpg
256,HV-2,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.15788889,-148.82175,Field Name,Dryas integrifolia-Lupinus arcticus,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-2_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-2_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-2_soils.jpg
257,HV-3,19940721,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.16041667,-148.8245556,Field Name,Comarum palustre-Sparganium hyperboreum,"Aquatic forb marshes (Hippuris, Sparganium, Menyanthes, Utricularia, Ranunculus communities)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-3_plot.jpg,,
258,HV-4,19940721,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.15825,-148.8249444,Field Name,Alnus viridis-Climacium dendroides,Alder communities,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-4_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-4_soils.jpg,
259,HV-5,19940721,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.158,-148.8254722,Field Name,Alnus viridis-Climacium dendroides,Alder communities,Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-5_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-5_plotclose-up.jpg,
260,HV-6,19940721,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.15688889,-148.82375,Field Name,Dryas integrifolia-Lupinus arcticus,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-6_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-6_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-6_soils.jpg
261,HV-7,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.154,-148.821,Field Name,Epilobium latifolium-Hedysarum alpinum,"Ruderal riparian vegetation (Epilobium latifolium, Artemisia arctica, Trisetum spicatum, etc.)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-7_plot.jpg,,
262,HV-8,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.152,-148.821,Field Name,Epilobium latifolium-Hedysarum alpinum,"Ruderal riparian vegetation (Epilobium latifolium, Artemisia arctica, Trisetum spicatum, etc.)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-8_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-8_plotclose-up.jpg,
263,HV-9,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14675,-148.8289444,Field Name,Carex aquatilis-Eriophorum angustifolium,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-9_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-9_soils.jpg,
264,HV-10,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.14677778,-148.8273889,Field Name,Dryas integrifolia-Lupinus arcticus,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-10_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-10_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-10_soils.jpg
265,HV-11,19940718,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.149,-148.827,Field Name,Salix alaxensis-Shepherdia canadensis,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-11_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-11_soils.jpg,
266,HV-12,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.137,-148.836,Field Name,Salix sp.-Betula nana,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-12_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-12_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-12_soils.jpg
267,HV-13,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.137,-148.834,Field Name,Salix glauca-Lupinus arcticus,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-13_plot.jpg,,
268,HV-14,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.13786111,-148.8330833,Field Name,Epilobium latifolium-Hedysarum alpinum,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,,,
269,HV-15,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.135,-148.835,Field Name,Salix glauca-Lupinus arcticus,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,,,
270,HV-16,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.132,-148.835,Field Name,Epilobium latifolium-Hedysarum alpinum,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-16_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-16_plotclose-up.jpg,
271,HV-17,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.12533333,-148.8325,Field Name,Cassiope tetragona-Dryas integrifolia,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-17_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-17_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-17_soils.jpg
272,HV-18,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.12322222,-148.8323889,Field Name,Salix alaxensis-Shepherdia canadensis,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-18_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-18_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-18_soils.jpg
273,HV-19,19940719,1994,Happy Valley vegetation (Walker et al. 1997),Donald A. 'Skip' Walker,69.122,-148.833,Field Name,Salix glauca-Lupinus arcticus,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Braun-Blanquet (old),,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-19_plot.jpg,http://static.gina.alaska.edu/geobotany/Happy_Valley_Photos/happyvalley_hv-19_soils.jpg,
