Releve number,Field releve number,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,Image_url1,Image_url2
171,SW01,19840801,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616404,-149.31386,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-1_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-1_soils.jpg
172,SW02,19840801,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616927,-149.315557,Field name,"Salix planifolia ssp. pulchra, Eriophorum angustifolium, Drepanocladus uncinatus low-shrub, sedge tundra.",Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-2_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-2_soils.jpg
173,SW03,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616066,-149.313924,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-3_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-3_soils.jpg
174,SW04A,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615957,-149.31392,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_soils.jpg
175,SW04B,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615957,-149.31392,Field name,"Salix planifolia ssp. pulchra, Vaccinium uliginosum, Carex bigelowii, Sphagnum rubellum, Aulacomnium palustre low-shrub tundra.",Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-4_plot.jpg,
176,SW05,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615678,-149.313957,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-5_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-5_soils.jpg
177,SW06,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615553,-149.314201,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-6_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-6_soils.jpg
178,SW07,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615468,-149.313987,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-7_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-7_soils.jpg
179,SW08,19840803,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615335,-149.314011,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-8_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-8_soils.jpg
180,SW09,19840804,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615185,-149.314009,Braun-Blanquet name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-9_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-9_soils.jpg
