Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,"species - these are the dataset taxa, not the PASL taxa"
1,SWT-1,1,19890801,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.6249,-149.5932,Field Name,Carex podocarpa-Dodocatheon frigidum,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",56,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-1_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-1_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-1_soils.jpg,"Andromeda polifolia, Anemone richardsonii, Artemisia arctica, Aulacomnium acuminatum, Aulacomnium palustre, Betula nana, Bistorta plumosa, Bistorta vivipara, Bryum pseudotriquetrum, Calamagrostis canadensis, Campylium stellatum, Cardamine digitata, Carex membranacea, Carex riishirensis, Carex scirpoidea, Cassiope tetragona [s. tetragona], Chamerion latifolium, Cladonia macrophylla, Climacium dendroides, Cyrtomnium hymenophyllum, Dasiphora fruticosa, Dicranum spadiceum, Distichium capillaceum, Ditrichum flexicaule, Dodecatheon frigidum, Equisetum arvense, Equisetum scirpoides, Equisetum variegatum s. variegatum, Festuca altaica, Fissidens osmundoides, Hylocomium splendens, Hypnum lindbergii, Kalmia procumbens, Lycopodium annotinum, Micranthes nivalis, Mnium species, Odontoschisma macounii, Parnassia palustris, Pedicularis capitata, Pedicularis langsdorffii s. arctica, Polytrichum commune, Polytrichum juniperinum, Pyrola asarifolia [s. asarifolia], Racomitrium canescens, Salix chamissonis, Salix reticulata, Sanionia uncinata, Senecio lugens, Solidago multiradiata s. multiradiata, Sphagnum rubellum, Sphagnum warnstorfii, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum, Valeriana capitata, Wilhelmsia physodes"
2,SWT-2,2,19890801,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.625311,-149.591996,Field Name,Salix lanata-Salix alaxensis,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),29,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-2_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-2_soils.jpg,,"Anemone richardsonii, Arctagrostis latifolia, Artemisia arctica, Artemisia tilesii s. tilesii, Brachythecium groenlandicum, Bryum pseudotriquetrum, Calamagrostis canadensis, Carex riishirensis, Chamerion latifolium, Climacium dendroides, Dasiphora fruticosa, Dodecatheon frigidum, Eurybia sibirica, Festuca altaica, Hypnum lindbergii, Oncophorus virens, Philonotis fontana, Plagiomnium ellipticum, Polemonium acutiflorum, Salix alaxensis, Salix chamissonis, Salix pulchra, Salix richardsonii, Sanionia uncinata, Senecio lugens, Solidago multiradiata s. multiradiata, Tomentypnum nitens, Valeriana capitata, Wilhelmsia physodes"
3,SWT-3,3,19890802,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624417,-149.595261,Field Name,Betula nana-Cladina arbuscula,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",36,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-3_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-3_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-3_soils.jpg,"Alectoria ochroleuca, Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bryocaulon divergens, Calamagrostis canadensis, Carex microchaeta, Cassiope tetragona [s. tetragona], Cetraria islandica, Cetraria kamczatica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia mitis, Cladonia rangiferina, Cladonia uncialis, Dactylina arctica, Dicranum groenlandicum, Dicranum scoparium, Dicranum spadiceum, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Masonhalea richardsonii, Pedicularis labradorica, Peltigera scabrosa, Polytrichum juniperinum, Racomitrium lanuginosum, Rhododendron tomentosum s. decumbens, Salix phlebophylla, Sphenolobus minutus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
4,SWT-4,4,19890802,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.62469,-149.597946,Field Name,Arctophila fulva-Hippuris vulgaris,Aquatic grass  marshes (Arctophila fulva),4,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-4_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-4_plotclose-up.jpg,,"Arctophila fulva, Coptidium pallasii, Hippuris vulgaris, Scorpidium scorpioides"
5,SWT-5,5,19890802,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623723,-149.595704,Braun-Blanquet Name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",37,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-5_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-5_plot_close-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-5_soils.jpg,"Alectoria ochroleuca, Arctous alpina, Artemisia arctica, Asahinea chrysantha, Betula nana, Bryocaulon divergens, Cetraria kamczatica, Cetraria nigricans, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia ecmocyna, Cladonia gracilis s. lat., Cladonia macrophylla, Cladonia pleurota, Cladonia pocillum, Cladonia pyxidata, Cladonia uncialis, Dactylina arctica, Diapensia obovata, Dicranum elongatum, Flavocetraria cucullata, Flavocetraria nivalis, Hypogymnia physodes, Kalmia procumbens, Masonhalea richardsonii, Melanohalea septentrionalis, Pedicularis lanata, Pertusaria dactylina, Polytrichum juniperinum, Polytrichum piliferum, Rhododendron tomentosum s. decumbens, Salix phlebophylla, Sphaerophorus globosus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
6,SWT-6,6,19890802,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.622862,-149.596863,Field Name,Betula nana-Cladina arbuscula,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",27,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-6_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-6_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-6_soils.jpg,"Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bryum species, Calamagrostis canadensis, Carex bigelowii, Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia ecmocyna, Cladonia pleurota, Cladonia rangiferina, Dactylina arctica, Dicranum acutifolium, Dicranum scoparium, Dicranum spadiceum, Empetrum nigrum, Flavocetraria cucullata, Flavocetraria nivalis, Masonhalea richardsonii, Polytrichum strictum, Rhododendron tomentosum s. decumbens, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
7,SWT-7,7,19890803,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623114,-149.599121,Braun-Blanquet Name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry nonacidic alpine tundra (Dryas octopetala),51,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-7_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-7_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-7_soils.jpg,"Alectoria ochroleuca, Androsace chamaejasme s. andersonii, Anemone lithophila, Antennaria friesiana, Arnica lessingii, Artemisia arctica, Asahinea chrysantha, Bryocaulon divergens, Bupleurum triradiatum, Caloplaca species, Carex capillaris, Carex microchaeta, Carex rupestris, Cetraria aculeata, Cetraria islandica, Cetraria nigricans, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia phyllophora, Cladonia uncialis, Dryas integrifolia, Dryas octopetala, Encalypta rhaptocarpa, Festuca baffinensis, Flavocetraria cucullata, Flavocetraria nivalis, Gymnomitrion corallioides, Hypogymnia subobscura, Lecanora epibryon, Luzula confusa, Luzula multiflora, Masonhalea richardsonii, Melanohalea septentrionalis, Micranthes hieraciifolia, Minuartia obtusiloba, Ochrolechia frigida, Ochrolechia upsaliensis, Peltigera aphthosa, Peltigera canina, Pohlia nutans, Polytrichum juniperinum, Polytrichum piliferum, Potentilla nivea, Psoroma hypnorum, Salix phlebophylla, Selaginella sibirica, Sphaerophorus globosus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
8,SWT-8,8,19890803,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623111,-149.599289,Braun-Blanquet Name,Carici microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",40,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-8_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-8_soils.jpg,,"Alectoria ochroleuca, Andromeda polifolia, Arctous alpina, Artemisia arctica, Asahinea chrysantha, Betula nana, Bistorta plumosa, Bryocaulon divergens, Carex microchaeta, Cassiope tetragona [s. tetragona], Cetraria aculeata, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia pleurota, Cladonia pyxidata, Cladonia rangiferina, Cladonia uncialis, Dactylina arctica, Diapensia obovata, Dicranum groenlandicum, Empetrum nigrum, Flavocetraria cucullata, Flavocetraria nivalis, Kalmia procumbens, Ochrolechia frigida, Orthilia obtusata, Peltigera canina, Pohlia nutans, Polytrichum juniperinum, Psoroma hypnorum, Racomitrium lanuginosum, Rhododendron tomentosum s. decumbens, Salix phlebophylla, Sphaerophorus globosus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
9,SWT-9,9,19890803,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623053,-149.599564,Field Name,Cassiope tetragona-Geum glaciale,Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),56,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-9_plot.jpg,,,"Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bryum pseudotriquetrum, Carex microchaeta, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia rangiferina, Cladonia uncialis, Climacium dendroides, Dactylina arctica, Dicranum muehlenbeckii, Dicranum scoparium, Dicranum spadiceum, Ditrichum flexicaule, Dryas integrifolia, Empetrum nigrum, Flavocetraria cucullata, Geum glaciale, Hylocomium splendens, Luzula nivalis, Masonhalea richardsonii, Micranthes nelsoniana, Mnium spinosum, Ochrolechia frigida, Pedicularis labradorica, Pedicularis oederi, Peltigera aphthosa, Petasites frigidus, Poa alpina, Polytrichum juniperinum, Ptilidium ciliare, Pyrola asarifolia [s. asarifolia], Pyrola grandiflora, Racomitrium lanuginosum, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Salix glauca, Salix reticulata, Saussurea angustifolia, Sphaerophorus globosus, Sphagnum girgensohnii, Stellaria longipes taxon laeta, Stereocaulon tomentosum, Thamnolia vermicularis s. subuliformis, Timmia species, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
10,SWT-10,10,19890803,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623195,-149.600036,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",53,,Braun/Blanquet (old),,,,"Andromeda polifolia, Anemone richardsonii, Arctous alpina, Aulacomnium turgidum, Bistorta plumosa, Bistorta vivipara, Blepharostoma trichophyllum v. brevirete, Brachythecium turgidum, Bryum pseudotriquetrum, Calliergon megalophyllum, Campylium stellatum, Carex bigelowii, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum acutifolium, Dicranum spadiceum, Ditrichum flexicaule, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Equisetum variegatum s. variegatum, Eutrema edwardsii, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Loeskypnum badium, Masonhalea richardsonii, Papaver macounii, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Petasites frigidus, Ptilidium ciliare, Pyrola grandiflora, Rhytidium rugosum, Rubus chamaemorus, Salix reticulata, Sanionia uncinata, Scapania species, Sphagnum rubellum, Sphenolobus minutus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
