Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
11686,BELA_T01_02_2002,BELA_T01_02_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42937,-164.10435,Field community name,Salix alaxensis-Epilobium latifolium,Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,"plot map, soil descriptions a few select plots",Percent,,,
11687,BELA_T01_03_2002,BELA_T01_03_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42919,-164.10402,Field community name,Salix alaxensis-Epilobium latifolium,Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,"plot map, soil descriptions a few select plots",Percent,,,
11688,BELA_T01_04_2002,BELA_T01_04_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42906,-164.10394,Field community name,Salix alaxensis-Aster sibiricus,Elymus arenarius and other active dune communities,,"plot map, soil descriptions a few select plots",Percent,,,
11689,BELA_T01_05_2002,BELA_T01_05_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42873,-164.10374,Field community name,Betula nana-Salix planifolia ssp. pulchra-Pyrola grandiflora,Elymus arenarius and other active dune communities,,"plot map, soil descriptions a few select plots",Percent,,,
11690,BELA_T01_06_2002,BELA_T01_06_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42819,-164.10306,Field community name,Betula nana-Salix planifolia ssp. pulchra-Pyrola grandiflora,Elymus arenarius and other active dune communities,,"plot map, soil descriptions a few select plots",Percent,,,
11691,BELA_T01_07_2002,BELA_T01_07_2002,20020710,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.42741,-164.10045,Field community name,Ledum decumbens-Vaccinium vitis-idaea-fruticose or foliose lichen,Elymus arenarius and other active dune communities,,"plot map, soil descriptions a few select plots",Percent,,,
11692,BELA_T02_01_2002,BELA_T02_01_2002,20020714,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.47233,-164.1520667,Field community name,Carex aquatilis-Salix planifolia ssp. pulchra,Elymus arenarius and other active dune communities,,"plot map, soil descriptions a few select plots",Percent,,,
11693,BELA_T02_02_2002,BELA_T02_02_2002,20020714,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.47127,-164.1553,Field community name,Calamagrostis canadensis-Potentilla palustris,9.5,,"plot map, soil descriptions a few select plots",Percent,,,
11694,BELA_T02_03_2002,BELA_T02_03_2002,20020714,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.47111667,-164.15535,Field community name,Arctophila fulva-Hippuris vulgaris,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, soil descriptions a few select plots",Percent,,,
11695,BELA_T02_04_2002,BELA_T02_04_2002,20020714,2002,Arctic Network NPS (Jorgenson et al. 2009),M. Torre Jorgenson,65.47276667,-164.15655,Field community name,Carex chordorrhiza-Carex aquatilis,9.5,,"plot map, soil descriptions a few select plots",Percent,,,
