Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,,image_url1,image_url2,image_url3
1364,A-1,A-1,19980701,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,70.4645,-157.450722,Field community name,Ledum palustre ssp. decumbens-Eriophorum vaginatum,6.2,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/atqasuk_grid.tif,,
1365,B-1A,B-1A,19990702,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,71.321933,-156.608417,Field community name,Carex aquatilis-Saxifraga cernua,5.4,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Barrow%20grid.jpg,,
1366,B-1B,B-1B,19990702,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,71.321933,-156.608417,Field community name,Luzula confusus-Dicranum elongatum,5.5,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1367,I-1A,I-1A,19980705,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.487017,-155.7436,Field community name,Betula nana ssp. exilis-Eriophorum vaginatum,6.2,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Ivotuk%20grid%20I-1.jpg,,
1368,I-1B,I-1B,19980705,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.487017,-155.7436,Field community name,Anthelia juratzkana-Luzula arctica,9.4,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1369,I-2A,I-2A,19980706,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.47845,-155.740133,Field community name,Eriophorum angustifolium-Salix planifolia ssp. pulchra,6.3,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Ivotuk%20grid%20I-2.jpg,,
1370,I-2B,I-2B,19980706,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.478451,-154.740133,Field community name,Rubus chamaemorus-Betula nana ssp. exilis,6.3,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1371,I-2C,I-2C,19980706,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.478452,-153.740133,Field community name,Calliergon stramineum-Eriophorum angustifolium,4.1,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1372,I-3A,I-3A,19980709,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.47935,-155.738233,Field community name,Dryas integrifolia-Carex bigelowii,10.4,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Ivotuk%20grid%20I-3.jpg,,
1373,I-3B,I-3B,19980709,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.47935,-155.738233,Field community name,Novosieversia-Dryas integrifolia,10.1,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1374,I-3C,I-3C,19980709,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.47935,-155.738233,Field community name,Saxifraga oppositifolia-Pertussaria dactylina,10.5,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1375,I-4,I-4,19980709,1998,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,68.4805,-155.7429,Field community name,Sphagnum lenense-Eriophorum vaginatum,6.2,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Ivotuk%20grid%20I-4.jpg,,
1376,O-1A,O-1A,19990705,1999,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,69.735267,-155.869567,Field community name,Dryas integrifolia-Carex bigelowii,10.4,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Oumalik%20grid%20O-1.jpg,,
1377,O-1B,O-1B,19990705,1999,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,69.735267,-155.869567,Field community name,Eriophorum triste-Racomitrium lanuginosum,10.5,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,,,
1378,O-2,O-2,19990706,1999,"ATLAS-1 (Atqasuk, Barrow, Ivotuk, Oumalik) (Edwards 2000)",Donald A. 'Skip' Walker,69.732483,-155.863767,Field community name,Betula nana-Eriophorum vaginatum,6.2,,"Biomass, LAI, NDVI",Braun/Blanquet (old),,http://static.gina.alaska.edu/geobotany/atlas1/Oumalik%20grid%20O-2.jpg,,
