Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
"11492,11525,11558,11591",206,206,"1972, 1999, 2008, 2010","1972, 1999, 2008, 2010","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2946814,-156.6866993,Field community name,Moist Carex aquatilis-Oncophorus wahlenbergii meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0206a.jpg,,,
"11493,11526,11559,11592",208,208,"1972, 1999, 2008, 2011","1972, 1999, 2008, 2011","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2942973,-156.6864822,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0208a.jpg,,,
"11494,11527,11560,11593",401,401,"1972, 1999, 2008, 2012","1972, 1999, 2008, 2012","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2895313,-156.689706,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Seasonally-flooded graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0401a.jpg,,,
"11495,11528,11561,11594",402,402,"1972, 1999, 2008, 2013","1972, 1999, 2008, 2013","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2888406,-156.6808901,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0402a.jpg,,,
"11496,11529,11562,11595",404,404,"1972, 1999, 2008, 2014","1972, 1999, 2008, 2014","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2895088,-156.6869346,Field community name,Moist Carex aquatilis-Oncophorus wahlenbergii meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0404a.jpg,,,
"11497,11530,11563,11596",405,405,"1972, 1999, 2008, 2015","1972, 1999, 2008, 2015","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2888926,-156.6794243,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Moist graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0405a.jpg,,,
"11498,11531,11564,11597",406,406,"1972, 1999, 2008, 2016","1972, 1999, 2008, 2016","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2894087,-156.683133,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Moist graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0406b.jpg,,,
"11499,11532,11565,11598",407,407,"1972, 1999, 2008, 2017","1972, 1999, 2008, 2017","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2895079,-156.6901802,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Seasonally-flooded graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0407a.jpg,,,
"11500,11533,11566,11599",408,408,"1972, 1999, 2008, 2018","1972, 1999, 2008, 2018","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2895759,-156.6915138,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Seasonally-flooded graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0408a.jpg,,,
"11501,11534,11567,11600",409,409,"1972, 1999, 2008, 2019","1972, 1999, 2008, 2019","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2882118,-156.6826446,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0409a.jpg,,,
