Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12622,A1C,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28086,-156.61157,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A1C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A1C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A1C_17Aug2012.jpg
12623,A1E,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28089,-156.6116,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A1E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A1E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A1E_17Aug2012.jpg
12624,A1T,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28089,-156.61145,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A1T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A1T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A1T_17Aug2012.jpg
12625,A2C,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.2813,-156.60921,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A2C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A2C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A2C_17Aug2012.jpg
12626,A2E,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28134,-156.60923,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A2E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A2E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A2E_17Aug2012.jpg
12627,A2T,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28134,-156.60933,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A2T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A2T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A2T_17Aug2012.jpg
12628,A3C,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28163,-156.61028,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A3C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A3C_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A3C_17Aug2012.jpg
12629,A3E,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28165,-156.61038,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A3E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A3E_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A3E_17Aug2012.jpg
12630,A3T,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28167,-156.61044,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A3T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A3T_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A3T_17Aug2012.jpg
12631,A4C,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28157,-156.61149,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A4C_15Jul2012.jpg,
12632,A4E,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28156,-156.61157,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A4E_24Jun2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A4E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A4E_17Aug2012.jpg
12633,A4T,,20120718,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28157,-156.61166,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120624/A4T_24Jun2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120715/A4T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaA_20120817/A4T_17Aug2012.jpg
12634,B1C,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27917,-156.60505,Field community name,"Dry Luzula arctica, Vaccinium vitis-idaea, lichen tundra",Dry coastal rush tundra (Luzula confusa),,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B1C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B1C_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B1C_17Aug2012.jpg
12635,B1E,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27914,-156.60495,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B1E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B1E_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B1E_17Aug2012.jpg
12636,B1T,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27914,-156.60489,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B1T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B1T_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B1T_17Aug2012.jpg
12637,B2C,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27958,-156.60375,Field community name,"Dry Luzula arctica, Vaccinium vitis-idaea, lichen tundra",Dry coastal rush tundra (Luzula confusa),,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B2C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B2C_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B2C_17Aug2012.jpg
12638,B2E,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27955,-156.60372,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B2E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B2E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B2E_17Aug2012.jpg
12639,B2T,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27953,-156.60367,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B2T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B2T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B2T_17Aug2012.jpg
12640,B3C,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.2797,-156.60312,Field community name,"Dry Luzula arctica, Vaccinium vitis-idaea, lichen tundra",Dry coastal rush tundra (Luzula confusa),,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B3C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B3C_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B3C_17Aug2012.jpg
12641,B3E,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27973,-156.60306,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B3E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B3E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B3E_17Aug2012.jpg
