Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,image_url1,image_url2,image_url3
13003,BEO_FC1,BEO_FC1,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28122,-156.61326,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC1.jpg,,
13004,BEO_FC4,BEO_FC4,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28103,-156.61441,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC4.jpg,,
13005,BEO_FC7,BEO_FC7,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28126,-156.61432,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC7.jpg,,
13006,BEO_FC10,BEO_FC10,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28161,-156.61422,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC10.jpg,,
13007,BEO_FC13,BEO_FC13,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28131,-156.61467,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC13.jpg,,
13008,BEO_FC17,BEO_FC17,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28081,-156.61424,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC17.jpg,,
13009,BEO_FC19,BEO_FC19,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28049,-156.61436,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC19.jpg,,
13010,BEO_FC22,BEO_FC22,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28062,-156.61271,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC22.jpg,,
13011,BEO_FC24,BEO_FC24,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.2804,-156.61238,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC24.jpg,,
13012,BEO_FC26,BEO_FC26,20140726,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.28004,-156.61278,Field Name,Mesic sedge-grass-herb meadow tundra,"Poor fens, slightly acidic organic soils (sedge-dwarf-shrub-Sphagnum)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/BEO_FC26.jpg,,
