Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
30188,403,403,20040718,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22855556,-119.2994167,Field community name,"Hypogymnia subobscura-Lecanora epibryon community typicum, in xeromesic non-sorted polygons at Mould Bay (subzone B).",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/403_mouldbay_plot.jpg,,,
30189,404,404,20040718,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22855556,-119.2994167,Field community name,Orthotrichum speciosum-Salix arctica community in xeromesic interpolygon areas at Mould Bay (subzone B).,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/404_mouldbay_plot.jpg,,,
30190,405,405,20040719,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22588889,-119.2922222,Field community name,"Dominant Speicies: Lecanora epibryon, Vaccinium vitis-idaea, Vaccinium uliginosum, Arctostaphylous rubra, Aulacomnium turgidum","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/405_mouldbay_plot.jpg,,,
30191,406,406,20040719,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22588889,-119.2922222,Field community name,"Dominant Speicies: Tortula ruralis, Sanionia uncinata, Salix arctica",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/406_mouldbay_plot.jpg,,,
30192,407,407,20040719,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22588889,-119.2922222,Field community name,Dominant Speicies: Bare,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/407_mouldbay_plot.jpg,,,
30193,408,408,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22861111,-119.2977222,Field community name,"Hypogymnia subobscura-Lecanora epibryon community, typicum, in xeromesic non-sorted polygons at Mould Bay (subzone B).",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/408_mouldbay_plot.jpg,,,
30194,409,409,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22861111,-119.2977222,Field community name,Orthotrichum speciosum-Salix arctica community in xeromesic interpolygon areas at Mould Bay (subzone B).,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/409_mouldbay_plot.jpg,,,
30195,410,410,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22822222,-119.2971389,Field community name,"Hypogymnia subobscura-Lecanora epibryon community, Distichium capillaceum variant, in xeromesic non-sorted polygons at Mould Bay (subzone B).",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/410_mouldbay_plot.jpg,,,
30196,411,411,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22822222,-119.2971389,Field community name,Orthotrichum speciosum-Salix arctica community in xeromesic interpolygon areas at Mould Bay (subzone B).,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/411_mouldbay_plot.jpg,,,
30197,412,412,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22827778,-119.3005278,Field community name,"Dominant Species: Lecanora epibryon, Hypogymnia subobscura, Luzula nivalis",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/412_mouldbay_plot.jpg,,,
