Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
11431,BI-1,BI-1,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.133697,-143.643111,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11432,BI-2,BI-2,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.13394,-143.638545,Field community name,"other saline, Alopecurus alpinus-Salix arctica",Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11433,BI-3,BI-3,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.120403,-143.630842,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11434,BI-4,BI-4,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.124738,-143.629615,Field community name,Dryas integrifolia-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11435,BI-5A,BI-5A,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.125764,-143.633637,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11436,BI-5B,BI-5B,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.125764,-143.633637,Field community name,Dryas integrifolia-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11437,BI-6,BI-6,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.12611,-143.631538,Field community name,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11438,BI-7,BI-7,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.126321,-143.630592,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11439,BI-8,BI-8,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.1268,-143.631448,Field community name,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11440,BI-9,BI-9,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.126827,-143.629359,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
