Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12862,TBL_I-1,TBL_I-1,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12863,TBL_I-2,TBL_I-2,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12864,TBL_I-3,TBL_I-3,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12865,TBL_I-4,TBL_I-4,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12866,TBL_I-5,TBL_I-5,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12867,TBL_I-6,TBL_I-6,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12868,TBL_I-7,TBL_I-7,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12869,TBL_I-8,TBL_I-8,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12870,TBL_I-9,TBL_I-9,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
12871,TBL_I-10,TBL_I-10,19510730,1951,Nome (Hanson 1953),Herbert C. Hanson,64.501111,-165.406389,Field community name,Birch shrub stands,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,General community photos,Hult-Sernander-Du Rietz (Daniels),,,
