Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12670,95-FT-1a,95-FT-1a,19950824,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,70.2835,-148.8928333,Field community name,"Moist eritri, dryint, tomnit, thasub sedge dwarf-shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_1_aerial.tif,,
12671,95-FT-1b,95-FT-1b,19950824,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,70.2835,-148.8928333,Field community name,"Wet eriang, caraqu, drebre graminoid tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_1_aerial.tif,,
12672,95-FT-2a,95-FT-2a,19950825,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,70.275,-148.919,Field community name,"Wet eriang, caraqu, scosco sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_2_aerial.tif,,
12673,95-FT-2b,95-FT-2b,19950825,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,70.275,-148.919,Field community name,"Moist eritri, dryint, tomnit, thasub sedge dwarf-shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_2_aerial.tif,,
12674,95-FT-3a,95-FT-3a,19950822,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,69.441,-148.6703333,Field community name,"Moist eritri, erivag, dryint, hylspl, raclan, thasub graminoid prostrate-shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_3_aerial.tif,,
12675,95-FT-3b,95-FT-3b,19950822,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,69.441,-148.6703333,Field community name,"Dry saxopp, junbig, ochfri forb crustose-lichen barren","Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_3_aerial.tif,,
12676,95-FT-3c,95-FT-3c,19950822,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,69.441,-148.6703333,Field community name,"Moist carbig, dryint, tomnit sedge dwarf-shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_4_aerial.tif,,
12677,95-FT-4,95-FT-4,19950816,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,69.441,-148.6703333,Field community name,"Moist erivag, betnan, salpul, hylspl, sphrub tussock-sedge dwarf-shrub tundra",Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_4_aerial.tif,,
12678,95-FT-5a,95-FT-5a,19950816,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,68.624,-149.6181667,Field community name,"Dry salphl, douoch prostrate-shrub cushion-forb barren","Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_5_aerial.tif,,
12679,95-FT-5b,95-FT-5b,19950816,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,68.624,-149.6181667,Field community name,"Moist salphl, carmic, polstri dwarf-shrub moss tundra","Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_5_aerial.tif,,
12680,95-FT-7a,95-FT-7a,19950818,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,68.611,-149.3145,Field community name,"Wet carrot, carrar, salfus, betnan, sphlen sedge dwarf-shrub moss tundra",Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_7_aerial.tif,,
12681,95-FT-7b,95-FT-7b,19950818,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,68.611,-149.3145,Field community name,"Wet erisch, drerev, sphori sedge tundra",Wet acidic Sphagnum-rich mires (bogs),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_7_aerial.tif,,
12682,95-FT-7c,95-FT-7c,19950818,1995,"LAII Flux Study (Walker 1995, 1996, unpublished)",Donald A. Walker,68.611,-149.3145,Field community name,"Wet erisch, salfus, sphlen sedge moss tundra",Wet acidic Sphagnum-rich mires (bogs),,"plot map, aerial photographs, soil descriptions, growth form",Braun/Blanquet (old),cir_nsflux_site_7_aerial.tif,,
