Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
546,24,24,19790620,1979,Oumalik (Ebersole 1985),James Jay Ebersole,68.84,-155.98,Field community name,Salix lanata-Equisetum arvense,Willow shrub vegetation of riparian areas and warm habitats,,,Ordinale scale (1-9),,,,
547,44,44,19790623,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.848351,-156.01834,Field community name,Salix planifolia-Carex aquatilis,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),,,Ordinale scale (1-9),,,,
548,70,70,19790703,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.841657,-155.986602,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
549,71,71,19790703,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.84151,-155.986613,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
550,72,72,19790703,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.841684,-155.98593,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
551,73,73,19790706,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845113,-155.993853,Field community name,Dryas integrifolia-Salix glauca,Dry and mesic dwarf-shrub and graminoid vegetation on non-acidic substrate,,,Ordinale scale (1-9),,,,
552,74,74,19790706,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845206,-155.990796,Field community name,Dryas integrifolia-Equisetum arvense,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
553,75,75,19790706,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845397,-155.988949,Field community name,Eriophorum vaginatum-Salix planifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
554,76,76,19790706,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845812,-155.990235,Field community name,Eriophorum vaginatum-Salix planifolia,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,,Ordinale scale (1-9),,,,
555,77,77,19790708,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845454,-155.989246,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
556,78,78,19790708,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845352,-155.988989,Field community name,Saxifraga cernua-Marchantia polymorpha,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
557,79,79,19790709,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843831,-155.988949,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
558,80,80,19790708,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843348,-155.99162,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
559,81,81,19790710,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.846241,-155.99033,Field community name,Eriophorum vaginatum-Salix planifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
560,82,82,19790710,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.849709,-155.96963,Field community name,Salix lanata-Salix planifolia,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
561,83,83,19790710,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.854515,-155.981381,Field community name,Salix glauca-Poa arctica,Naturally eroding lake or river bluffs dominated by shrubs,,,Ordinale scale (1-9),,,,
562,84,84,19790711,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.851405,-156.016865,Field community name,Dryas integrifolia-Salix glauca,"Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,,Ordinale scale (1-9),,,,
563,85,85,19790711,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.842793,-155.994689,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
564,86,86,19790711,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843146,-156.000983,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
