Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,image_url4,image_url5
10632,1_1,1_1,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,Dryas integrifolia-Oxytropis nigrescens,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces and Dryas octopetala communities from alpine areas)",,None,Percentage, , ,,,
10633,1_2,1_2,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,"Cerastium beeringianum-Ranunculus pedatifidus, Facies Trisetum spicatum-Potentilla uniflora","Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,None,Percentage, , ,,,
10634,1_3,1_3,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,"Dryas integrifolia-Astragalus umbellatus-Carex rupestris, Facies Carex rupestris-Oxytropis nigrescens","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces and Dryas octopetala communities from alpine areas)",,None,Percentage, , ,,,
10635,1_4,1_4,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,"Cassiope tetragona-Dryas integrifolia, Facies Cassiope tetragona-Dryas integrifolia","Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,None,Percentage, , ,,,
10636,1_5,1_5,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,"Salix rotundifolia-Dryas integrifolia, Facies Salix rotundifolia-Eriophorum triste","Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",,None,Percentage, , ,,,
10637,1_6,1_6,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,"Cerastium beeringianum-Ranunculus pedatifidus, Facies Trisetum spicatum-Potentilla uniflora","Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,None,Percentage, , ,,,
10638,1_7,1_7,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.325539,-148.787758,Field Name,Dryas integrifolia-Oxytropis nigrescens,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces and Dryas octopetala communities from alpine areas)",,None,Percentage, , ,,,
10639,2_1,2_1,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.327265,-148.787681,Field Name,Cerastium beeringianum-Minuartia rubella,Talus marsh communities,,None,Percentage, , ,,,
10640,2_2,2_2,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.327265,-148.787681,Field Name,Cerastium beeringianum-Ranunculus pedatifidus,"Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,None,Percentage, , ,,,
10641,2_3,2_3,1983,1983,Pingos (M. Walker 1990),Marilyn D. Walker,70.327265,-148.787681,Field Name,"Dryas integrifolia-Astragalus umbellatus-Carex rupestris, Facies Carex rupestris-Oxytropis nigrescens","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces and Dryas octopetala communities from alpine areas)",,None,Percentage, , ,,,
