Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,image_url4,image_url5
513,NOA3,NOA3,20050701,2005,Poplars (Breen 2014),Amy L. Breen,67.898431,-160.573603,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/NOA3_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/NOA3_vegetation.jpg,,,
514,KON1,KON1,20040616,2004,Poplars (Breen 2014),Amy L. Breen,68.978741,-142.193226,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/KONG1_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/KONG1_vegetation.jpg,,,
515,IVI4,IVI4,20040704,2004,Poplars (Breen 2014),Amy L. Breen,69.104194,-147.908528,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/IVI4_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/IVI4_vegetation1.jpg,http://static.gina.alaska.edu/geobotany/Poplars/IVI4_vegetation2.jpg,http://static.gina.alaska.edu/geobotany/Poplars/IVI4_winterlandscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/IVI4_wintervegetation.jpg
516,IVI2,IVI2,20040701,2004,Poplars (Breen 2014),Amy L. Breen,69.055482,-147.71389,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/IVI2_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/IVI2_vegetation.jpg,,,
517,NOA1,NOA1,20050621,2005,Poplars (Breen 2014),Amy L. Breen,67.70525,-155.897193,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/NOA1_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/NOA1_vegetation1.jpg,http://static.gina.alaska.edu/geobotany/Poplars/NOA1_vegetation2.jpg,http://static.gina.alaska.edu/geobotany/Poplars/NOA1_vegetation3.jpg,
518,CAN2,CAN2,20030722,2003,Poplars (Breen 2014),Amy L. Breen,69.243034,-145.891955,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/CAN2_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/CAN2_landscape.jpg,,,
519,CAN3,CAN3,20030724,2003,Poplars (Breen 2014),Amy L. Breen,69.418467,-145.994009,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/CAN3_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/CAN3_vegetation.jpg,,,
520,KON2,KON2,20040618,2004,Poplars (Breen 2014),Amy L. Breen,69.10995,-141.993872,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/KONG2_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/KONG2_vegetation1.jpg,http://static.gina.alaska.edu/geobotany/Poplars/KONG2_vegetation2.jpg,http://static.gina.alaska.edu/geobotany/Poplars/KONG2_vegetation3.jpg,
521,NOA4,NOA4,20050704,2005,Poplars (Breen 2014),Amy L. Breen,67.809247,-162.741433,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/NOA4_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/NOA4_vegetatopm.jpg,,,
522,DIE1,DIE1,20050721,2005,Poplars (Breen 2014),Amy L. Breen,68.036791,-149.656306,Braun-Blanquet,"Salici alaxensis-Populetum balsamiferae, Typical Variant Breen 2014",Poplar vegetation of warm Arctic habitats,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Poplars/DIE1_landscape.jpg,http://static.gina.alaska.edu/geobotany/Poplars/DIE1vegetation.jpg,,,
