Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12763,T1-005-C,T1-005-C,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22317916,-148.471408,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-C_soil.JPG
12764,T1-005-C,T1-005-T,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22321881,-148.4716756,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-005-T_soil.JPG
12765,T1-005-C,T1-010-C,20140806,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22322544,-148.4713593,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-C_soil.JPG
12766,T1-010-T,T1-010-T,20140806,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22329396,-148.4717263,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-010-T_soil.JPG
12767,T1-025-C,T1-025-C,20140806,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22333271,-148.4710975,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-C_soil.JPG
12768,T1-025-T,T1-025-T,20140806,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22337813,-148.4715132,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-025-T_soil.JPG
12769,T1-050-C,T1-050-C,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22356864,-148.4709538,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-C_soil.JPG
12770,T1-050-T,T1-050-T,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22360955,-148.4712449,Field community name,"Very wet Dupontia fisheri, Carex aquatilis graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-050-T_soil_w_mineral.JPG
12771,T1-100-C,T1-100-C,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22394567,-148.4702409,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-C_soil.JPG
12772,T1-100-T,T1-100-T,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22399661,-148.4702842,Field community name,"Very wet Carex aquatilis, Scorpidium scorpioides graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-100-T_soil.JPG
