Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
82,010A,010A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.2520404,-148.5909273,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010A_plot_close-up.jpg,,,
83,010B,010B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26796504,-148.6421969,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_010B_plotclose-up.jpg,,
84,020B,020B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26770367,-148.6443026,Field community name,"Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_020B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_020b_plotclose-up.jpg,,
85,030A,030A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26083085,-148.5856395,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030A_plot_secondflagfromleft.jpg,,,
86,030B,030B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28938263,-148.7529485,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030B_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_030B_plotright.jpg,,
87,040A,040A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26040527,-148.5856714,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040A_plot_firstflagonleft.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040A_plotclose-up.jpg,,
88,040B,040B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28924384,-148.7520972,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040B_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_040B_plotleft.jpg,,
89,050A,050A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26104461,-148.5854266,Field community name,"Carex aquatilis, Scorpidium scorpioides sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050A_%20plot_close-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050A_plot_fourthflagfromleft.jpg,,
90,050B,050B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.25098822,-148.5932498,Field community name,"Carex aquatilis, Scorpidium scorpioides sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_050B_%20plotclose-up.jpg,,,
91,060A,060A,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.29122026,-148.7600236,Field community name,Arctophila fulva grass tundra,Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060A_plot.jpg,,,
92,060B,060B,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.28865656,-148.7597981,Field community name,Arctophila fulva grass tundra,Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060B_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_060B_plotclose-up.jpg,,
