Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,image_url4,image_url5
12699,NS-UNB-4,NS-UNB-4,20110714,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.229074,-151.166278,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12700,NS-UNB-5,NS-UNB-5,20120623,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.229074,-151.166278,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12701,NS-UNB-20,NS-UNB-20,20110715,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.96708,-159.250305,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12702,NS-UNB-21,NS-UNB-21,20120624,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.96708,-159.250305,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12703,NS-AR-1,NS-AR-1,20120623,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.276816,-150.715766,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12704,NS-AR-2,NS-AR-2,20120623,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.276816,-150.715766,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12705,NS-AR-3,NS-AR-3,20110714,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.276816,-150.715766,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12706,NS-DCKN-17,NS-DCKN-17,20110715,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.979986,-159.083232,Braun-Blanquet Name,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12707,NS-DCKN-18,NS-DCKN-18,20120621,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.979986,-159.083232,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12708,NS-DCKN-19,NS-DCKN-19,20120621,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.979986,-159.083232,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
