Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12792,DUT001,1,20070803,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84811111,-166.4656389,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12793,DUT002,2,20070803,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.84733333,-166.4656111,Field community name,Carex-Plantago mire,"Wet acidic sedge, forb mire (Aleutian Islands)",,Soil data,Westhoff and van der Maarel,,,
12794,DUT003,3,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88925,-166.4557778,Field community name,Athyrium-Aconitum meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12795,DUT004,4,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88936111,-166.4547222,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12796,DUT005,5,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.88958333,-166.4539444,Field community name,Linnaea_Empetrum heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12797,DUT006,6,20070804,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89177778,-166.4530278,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12798,AKK007,7,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.90875,-166.5186111,Field community name,Athyrium-Calamagrostis meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12799,DUT008,8,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.8535,-166.4586667,Field community name,Erigeron-Thelypteris meadow,"Moist fern, forb meadow",,Soil data,Westhoff and van der Maarel,,,
12800,DUT009,9,20070805,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.85386111,-166.4605278,Field community name,Phyllodoce heath,"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,Soil data,Westhoff and van der Maarel,,,
12801,DUT010,10,20070806,2007,Unalaska (Talbot et al. 2010),Stephen S. Talbot,53.89788889,-166.4641944,Field community name,Honckenya beach meadow,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,Soil data,Westhoff and van der Maarel,,,
