Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,COMM_NAME,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
428,47,47,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.033142,-149.664199,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
429,63,63,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.764627,-148.902073,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
430,62,62,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.764627,-148.902073,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
431,36,36,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.150442,-148.838307,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
432,92,92,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.840857,-148.842309,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
433,60,60,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098055,-148.833671,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
434,61,61,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098775,-148.831126,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
435,59,59,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,69.098055,-148.833671,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
436,93,93,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.840857,-148.842309,Braun-Blanquet,Anemono-Salicetum richardsonii salicetosum pulchrae Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
437,50,50,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.356841,-149.329644,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
438,49,49,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.356841,-149.329644,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
439,10,10,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
440,8,8,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
441,9,9,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.222458,-149.409472,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
442,40,40,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.8839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
443,39,39,199707,1997,Willows (Schickhoff et al. 2002),Udo Schickhoff,68.75896,-148.8839216,Braun-Blanquet,Anemono-Salicetum richardsonii lupinetosum arctici Schickhoff et al. 2002,Willow shrub vegetation of riparian areas and warm habitat,,,Braun/Blanquet (old),,,,
